,NAME,PSRJ,P0,P1,BINCOMP,DISC
164,B0621-04,J0624-0424,1.039076,8.3E-16,*,1978
165,J0627+0649,J0627+0649,0.346523,1.7E-15,*,2013
166,J0627+0706,J0627+0706,0.475885,2.98E-14,*,2003
167,J0628+0909,J0628+0909,1.241421,5.48E-16,*,2006
168,B0626+24,J0629+2415,0.476623,2E-15,*,1978
169,J0630-0046,J0630-0046,0.680575,3.75E-15,*,2013
170,B0628-28,J0630-2834,1.244419,7.12E-15,*,1969
171,J0631+0646,J0631+0646,0.110979,3.62E-15,*,2017
172,J0631+1036,J0631+1036,0.2878,1.05E-13,*,1996
173,J0633+0632,J0633+0632,0.297395,7.96E-14,*,2009
174,J0633+1746,J0633+1746,0.237099,1.1E-14,*,1992
175,J0633-2015,J0633-2015,3.253211,3.82E-15,*,2006
176,J0636-4549,J0636-4549,1.984597,3.17E-15,*,2006
177,J0636+5129,J0636+5129,0.002869,3.44E-21,UL[slr+14],2014
178,J0645+5158,J0645+5158,0.008853,4.92E-21,*,2014
179,J0646+0905,J0646+0905,0.903913,7.36E-16,*,2013
180,J0647+0913,J0647+0913,1.234854,6.42E-15,*,2013
181,J0652-0142,J0652-0142,0.924054,1.52E-16,*,2013
182,B0643+80,J0653+8051,1.214441,3.8E-15,*,1982
183,J0656-2228,J0656-2228,1.224754,2.67E-17,*,2006
184,J0656-5449,J0656-5449,0.183157,3.19E-17,*,2009
185,J0658+0022,J0658+0022,0.563295,9.15E-15,*,2013
186,B0656+14,J0659+1414,0.384929,5.49E-14,*,1978
187,B0655+64,J0700+6418,0.195671,6.85E-19,CO[kul86],1978
188,J0709+0458,J0709+0458,0.034429,3.8E-19,CO[mgf+19],2019
189,J0709-5923,J0709-5923,0.485268,1.26E-16,*,2009
190,J0711+0931,J0711+0931,1.21409,4E-16,*,2000
191,J0711-6830,J0711-6830,0.005491,1.49E-20,*,1997
192,J0719-2545,J0719-2545,0.974725,7.28E-15,*,2006
193,J0720-3125,J0720-3125,8.391116,6.98E-14,*,1997
194,J0721-2038,J0721-2038,0.015542,4.4E-20,CO[bkl+13],2013
195,J0725-1635,J0725-1635,0.424311,9.26E-17,*,1996
196,J0726-2612,J0726-2612,3.442308,2.93E-13,*,2006
197,J0729-1448,J0729-1448,0.251659,1.13E-13,*,2002
198,B0727-18,J0729-1836,0.51016,1.9E-14,*,1978
199,J0732+2314,J0732+2314,0.00409,6.02E-21,He(?)[mgf+19],2019
200,J0733-2345,J0733-2345,1.79625,5.7E-15,*,2006
201,J0734-1559,J0734-1559,0.15625,1.22E-14,*,2011
202,J0736-6304,J0736-6304,4.862874,1.52E-13,*,2010
203,J0737-2202,J0737-2202,0.320366,5.47E-15,*,2002
204,J0737-3039A,J0737-3039A,0.022699,1.76E-18,NS[bdp+03],2003
205,J0737-3039B,J0737-3039B,2.773461,8.92E-16,NS[lbk+04],2004
206,B0736-40,J0738-4042,0.374921,1.38E-15,*,1968
207,J0738+6904,J0738+6904,6.827693,2.7E-14,*,2014
208,J0740+6620,J0740+6620,0.002886,1.22E-20,He[bkk+19],2014
209,B0740-28,J0742-2822,0.166762,1.68E-14,*,1973
210,B0743-53,J0745-5353,0.214836,2.73E-15,*,1978
211,J0746-4529,J0746-4529,2.791025,1.67E-14,*,2006
212,J0747+6646,J0747+6646,0.407701,6.78E-16,*,2014
213,J0749-4247,J0749-4247,1.095452,9.77E-16,*,1996
214,J0751+1807,J0751+1807,0.003479,7.79E-21,He[nsk08],1995
215,B0751+32,J0754+3231,1.442349,1.08E-15,*,1978
216,B0756-15,J0758-1528,0.682265,1.62E-15,*,1978
217,J0804-3647,J0804-3647,2.191987,4.21E-15,*,2013
218,J0806-4123,J0806-4123,11.370386,5.56E-14,*,2004
219,J0807-5421,J0807-5421,0.526644,3.78E-16,*,2012
220,J0808-3937,J0808-3937,0.866349,4.01E-16,*,2013
221,B0808-47,J0809-4753,0.547202,3.08E-15,*,1978
222,J0812-3905,J0812-3905,0.482596,4.49E-17,*,2013
223,B0809+74,J0814+7429,1.292241,1.68E-16,*,1968
224,J0815+0939,J0815+0939,0.645161,1.39E-16,*,2005
225,J0818-3049,J0818-3049,0.763742,5.8E-16,*,2013
226,J0818-3232,J0818-3232,2.161259,7.53E-16,*,2006
227,B0818-13,J0820-1350,1.23813,2.11E-15,*,1970
228,J0820-3826,J0820-3826,0.124836,2.44E-15,*,2013
229,J0820-3921,J0820-3921,1.073567,1.22E-14,*,2006
230,B0818-41,J0820-4114,0.545446,2.23E-17,*,1978
231,J0821-4221,J0821-4221,0.396728,3.48E-15,*,2006
232,J0821-4300,J0821-4300,0.112799,9.28E-18,*,2009
233,B0820+02,J0823+0159,0.864873,1.05E-16,CO[kr00],1978
234,J0824+0028,J0824+0028,0.009861,1.47E-19,CO(?)[mgf+19],2013
235,B0823+26,J0826+2637,0.530661,1.71E-15,*,1968
236,B0826-34,J0828-3417,1.848919,9.96E-16,*,1978
237,J0831-4406,J0831-4406,0.311674,1.28E-15,*,2003
238,J0834-4159,J0834-4159,0.121116,4.44E-15,*,2003
239,J0835-3707,J0835-3707,0.541404,9.78E-15,*,2001
240,B0833-45,J0835-4510,0.089328,1.25E-13,*,1968
241,J0836-4233,J0836-4233,0.738436,1.32E-15,*,2012
242,B0834+06,J0837+0610,1.273768,6.8E-15,*,1968
243,B0835-41,J0837-4135,0.751625,3.54E-15,*,1968
244,J0838-2621,J0838-2621,0.308581,3.9E-17,*,2006
245,J0838-3947,J0838-3947,1.703946,8.13E-16,*,2001
246,B0839-53,J0840-5332,0.720614,1.64E-15,*,1978
247,B0840-48,J0842-4851,0.644365,9.56E-15,*,1978
248,J0843-5022,J0843-5022,0.208956,1.72E-16,*,2001
249,B0844-35,J0846-3533,1.116098,1.6E-15,*,1978
250,J0847-4316,J0847-4316,5.977493,1.2E-13,*,2006
251,J0849-6322,J0849-6322,0.367953,7.91E-16,*,2001
252,B0841+80,J0849+8028,1.602228,4.46E-16,*,1985
253,B0853-33,J0855-3331,1.267536,6.32E-15,*,1978
254,J0855-4644,J0855-4644,0.064686,7.26E-15,*,2003
255,J0855-4658,J0855-4658,0.575072,1.36E-14,*,2003
256,B0855-61,J0856-6137,0.962509,1.68E-15,*,1978
257,J0857-4424,J0857-4424,0.326774,2.33E-14,*,1998
258,J0900-3144,J0900-3144,0.01111,4.89E-20,CO(?)[bjd+06],2006
259,J0901-4624,J0901-4624,0.441995,8.75E-14,*,2001
260,B0901-63,J0902-6325,0.660313,1.07E-16,*,1978
261,B0903-42,J0904-4246,0.965171,1.89E-15,*,1978
262,B0904-74,J0904-7459,0.549553,4.63E-16,*,1978
263,J0905-4536,J0905-4536,0.988281,1.49E-16,*,1996
264,J0905-5127,J0905-5127,0.346287,2.49E-14,*,1996
265,J0905-6019,J0905-6019,0.340854,5.22E-16,*,2012
266,B0905-51,J0907-5157,0.253558,1.84E-15,*,1978
267,B0906-17,J0908-1739,0.401626,6.69E-16,*,1978
268,B0906-49,J0908-4913,0.106769,1.51E-14,*,1988
269,B0909-71,J0909-7212,1.36289,3.33E-16,*,1978
270,J0912-3851,J0912-3851,1.526085,3.59E-15,*,2011
271,J0919-6040,J0919-6040,1.216976,1E-17,*,2012
272,B0917+63,J0921+6254,1.567994,3.61E-15,*,1985
273,B0919+06,J0922+0638,0.430627,1.37E-14,*,1978
274,J0922-4949,J0922-4949,0.950289,9.76E-14,*,2001
275,B0922-52,J0924-5302,0.746295,3.55E-14,*,1978
276,B0923-58,J0924-5814,0.739505,4.92E-15,*,1978
277,J0927+2345,J0927+2345,0.761889,3.05E-16,*,1996
278,J0930-2301,J0930-2301,1.807069,3.36E-15,*,2018
279,J0931-1902,J0931-1902,0.004638,3.63E-21,*,2015
280,J0932-3217,J0932-3217,1.931627,2.5E-16,*,2001
281,J0932-5327,J0932-5327,4.392159,8.37E-15,*,2006
282,J0934-4154,J0934-4154,0.570409,2.69E-16,*,2001
283,B0932-52,J0934-5249,1.444777,4.66E-15,*,1978
284,J0940-5428,J0940-5428,0.087545,3.29E-14,*,2001
285,J0941-5244,J0941-5244,0.658558,1.14E-15,*,1996
286,B0940-55,J0942-5552,0.664367,2.29E-14,*,1969
287,B0941-56,J0942-5657,0.808164,3.96E-14,*,1978
288,B0940+16,J0943+1631,1.087418,9.11E-17,*,1978
289,J0943+2253,J0943+2253,0.532975,8.98E-17,*,1993
290,B0942-13,J0944-1354,0.570264,4.53E-17,*,1978
291,J0944+4106,J0944+4106,2.229431,4.42E-15,*,2014
292,J0945-4833,J0945-4833,0.331586,4.83E-15,*,2003
293,B0943+10,J0946+0951,1.097706,3.49E-15,*,1969
294,J0947+2740,J0947+2740,0.851014,4.3E-16,*,1996
