,NAME,PSRJ,P0,P1,BINCOMP,
193,J0521-68,J0521-68,0.433421,NAN,NAN,
194,J0522-6847,J0522-6847,0.674532,1.77E-14,NAN,
195,B0523+11,J0525+1115,0.354438,7.36E-17,NAN,
196,J0525-6607,J0525-6607,8.047,6.5E-11,NAN,
197,B0525+21,J0528+2200,3.745539,4.01E-14,NAN,
198,B0529-66,J0529-6652,0.975725,1.55E-14,NAN,
199,J0532-6639,J0532-6639,0.642743,5.35E-15,NAN,
200,J0532-69,J0532-69,1.149196,NAN,NAN,
201,J0533+0402,J0533+0402,0.963018,1.6E-16,NAN,
202,J0533+6759,J0533+6759,0.004388,1.26E-20,NAN,
203,B0531+21,J0534+2200,0.033392,4.21E-13,NAN,
204,J0534+34,J0534+34,NAN,NAN,NAN,
205,J0534-6703,J0534-6703,1.817565,4.25E-13,NAN,
206,J0535-66,J0535-66,0.210524,NAN,NAN,
207,J0535-6935,J0535-6935,0.200511,1.15E-14,NAN,
208,B0538-75,J0536-7543,1.245856,5.78E-16,NAN,
209,J0537-69,J0537-69,0.112613,NAN,NAN,
210,J0537-6910,J0537-6910,0.016122,5.18E-14,NAN,
211,J0538+2817,J0538+2817,0.143158,3.67E-15,NAN,
212,J0540+3207,J0540+3207,0.524271,4.48E-16,NAN,
213,B0540-69,J0540-6919,0.05057,4.79E-13,NAN,
214,J0540-7125,J0540-7125,1.286015,8.2E-16,NAN,
215,J0542-68,J0542-68,0.425189,NAN,NAN,
216,B0540+23,J0543+2329,0.245975,1.54E-14,NAN,
217,J0543-6851,J0543-6851,0.708954,3.94E-15,NAN,
218,J0544+20,J0544+20,NAN,NAN,NAN,
219,J0545-03,J0545-03,1.07393,NAN,NAN,
220,J0546+2441,J0546+2441,2.84385,7.65E-15,NAN,
221,J0550+09,J0550+09,1.745,NAN,NAN,
222,J0554+3107,J0554+3107,0.464961,1.43E-13,NAN,
223,J0555+3948,J0555+3948,1.146906,NAN,NAN,
224,J0555-7056,J0555-7056,0.827838,5.96E-15,NAN,
225,J0557+1550,J0557+1550,0.002556,7.35E-21,He,
226,J0557-2948,J0557-2948,0.043643,7.3E-20,NAN,
227,B0559-57,J0600-5756,2.261365,2.78E-15,NAN,
228,B0559-05,J0601-0527,0.395969,1.3E-15,NAN,
229,J0605+3757,J0605+3757,0.002728,4.8E-21,He,
230,J0608+00,J0608+00,1.0762,NAN,NAN,
231,J0609+16,J0609+16,0.9458,NAN,NAN,
232,J0609+2130,J0609+2130,0.055698,2.35E-19,NAN,
233,J0610-2100,J0610-2100,0.003861,1.24E-20,UL,
234,J0611+04,J0611+04,1.67443,NAN,NAN,
235,J0611+1436,J0611+1436,0.270329,4E-15,NAN,
236,J0611+30,J0611+30,1.41209,NAN,NAN,
237,B0609+37,J0612+3721,0.297982,5.95E-17,NAN,
238,J0612+37216,J0612+37216,0.443871,1.5E-16,NAN,
239,J0613-0200,J0613-0200,0.003062,9.59E-21,He,
240,J0613+3731,J0613+3731,0.619198,3.24E-15,NAN,
241,B0611+22,J0614+2229,0.33496,5.94E-14,NAN,
242,J0614-3329,J0614-3329,0.003149,1.75E-20,He,
243,J0614+83,J0614+83,1.039203,NAN,NAN,
244,J0621+0336,J0621+0336,0.269954,7.24E-18,NAN,
245,J0621+1002,J0621+1002,0.028854,4.73E-20,CO,
246,J0621+2514,J0621+2514,0.002722,2.48E-20,He,
247,J0621-55,J0621-55,NAN,NAN,NAN,
248,J0622+3749,J0622+3749,0.333208,2.54E-14,NAN,
249,J0623+0340,J0623+0340,0.61376,8.84E-17,NAN,
250,B0621-04,J0624-0424,1.039076,8.3E-16,NAN,
251,J0625+10,J0625+10,0.498397,NAN,NAN,
252,J0627+0649,J0627+0649,0.346523,1.7E-15,NAN,
253,J0627+0706,J0627+0706,0.475885,2.98E-14,NAN,
254,J0627+16,J0627+16,2.18,NAN,NAN,
255,J0628+0909,J0628+0909,1.241421,5.48E-16,NAN,
256,B0626+24,J0629+2415,0.476623,2E-15,NAN,
257,J0630-0046,J0630-0046,0.680575,3.75E-15,NAN,
258,J0630+19,J0630+19,1.24855,NAN,NAN,
259,B0628-28,J0630-2834,1.244419,7.12E-15,NAN,
260,J0631+0646,J0631+0646,0.110979,3.62E-15,NAN,
261,J0631+1036,J0631+1036,0.2878,1.05E-13,NAN,
262,J0633+0632,J0633+0632,0.297395,7.96E-14,NAN,
263,J0633+1746,J0633+1746,0.237099,1.1E-14,NAN,
264,J0633-2015,J0633-2015,3.253211,3.82E-15,NAN,
265,J0635+0533,J0635+0533,0.033856,NAN,NAN,
266,J0636-3044,J0636-3044,0.003946,NAN,NAN,
267,J0636-4549,J0636-4549,1.984597,3.17E-15,NAN,
268,J0636+5129,J0636+5129,0.002869,3.44E-21,UL,
269,J0641+07,J0641+07,NAN,NAN,NAN,
270,J0645+5158,J0645+5158,0.008853,4.92E-21,NAN,
